	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
ALOX12	0	0	0	0x0x0
ALOX12B	0	1	0	0x1x0
ALOX12P2	0	0	0	0x0x0
ALOX15	0	0	0	0x0x0
ALOX15B	0	0	0	0x0x0
ALOX5	0	0	0	0x0x0
ALOX5AP	0	0	0	0x0x0
ALOXE3	0	0	0	0x0x0
ALPI	0	0	0	0x0x0
ALPK1	0	0	0	0x0x0
ALPK2	0	0	0	0x0x0
ALPK3	0	0	0	0x0x0
ALPL	0	0	0	0x0x0
ALPP	0	0	0	0x0x0
ALPPL2	0	0	0	0x0x0
ALS2	0	0	0	0x0x0
ALS2CL	0	0	0	0x0x0
ALS2CR11	0	0	0	0x0x0
ALS2CR12	0	0	0	0x0x0
ALS2CR14	0	0	0	0x0x0
ALS2CR16	0	0	0	0x0x0
ALS2CR4	0	0	0	0x0x0
ALS2CR8	0	0	0	0x0x0
ALX1	0	0	0	0x0x0
ALX3	0	0	0	0x0x0
ALX4	0	0	0	0x0x0
AMAC1	0	0	0	0x0x0
AMAC1L1	0	0	0	0x0x0
AMAC1L2	0	0	0	0x0x0
AMAC1L3	0	0	0	0x0x0
AMACR	0	0	0	0x0x0
AMBN	0	0	0	0x0x0
AMBP	0	0	0	0x0x0
AMBRA1	0	0	0	0x0x0
AMD1	0	0	0	0x0x0
AMDHD1	0	0	0	0x0x0
AMDHD2	0	0	0	0x0x0
AMELX	0	0	0	0x0x0
AMELY	0	0	0	0x0x0
AMFR	0	0	0	0x0x0
AMH	0	0	0	0x0x0
AMHR2	0	0	0	0x0x0
AMICA1	0	0	0	0x0x0
AMIGO1	0	0	0	0x0x0
AMIGO2	0	0	0	0x0x0
AMIGO3	0	0	0	0x0x0
AMMECR1	0	0	0	0x0x0
AMMECR1L	0	0	0	0x0x0
AMN	0	0	0	0x0x0
AMN1	0	0	0	0x0x0
AMOT	0	0	0	0x0x0
AMOTL1	0	0	0	0x0x0
AMOTL2	0	0	0	0x0x0
AMPD1	0	0	0	0x0x0
AMPD2	0	0	0	0x0x0
AMPD3	0	0	0	0x0x0
AMPH	0	0	0	0x0x0
AMT	0	0	0	0x0x0
AMTN	0	0	0	0x0x0
AMY1A	0	0	0	0x0x0
AMY1B	0	0	0	0x0x0
AMY1C	0	0	0	0x0x0
AMY2A	0	0	0	0x0x0
AMY2B	0	0	0	0x0x0
AMZ1	0	0	0	0x0x0
AMZ2	0	0	0	0x0x0
ANAPC1	0	0	0	0x0x0
ANAPC10	0	0	0	0x0x0
ANAPC11	0	0	0	0x0x0
ANAPC13	0	0	0	0x0x0
ANAPC2	0	0	0	0x0x0
ANAPC4	0	-1	0	0x1x0
ANAPC5	0	0	0	0x0x0
ANAPC7	0	-1	0	0x1x0
ANG	1	1	0	1x1x0
ANGEL1	0	0	0	0x0x0
ANGEL2	0	0	0	0x0x0
ANGPT1	0	0	0	0x0x0
